,,@bgm_play name=仮
,,@bg_show name=主人公の部屋
,,自室に戻り、今手元にある紙切れを確認してみた。
,,1…2…3…
,,「結構集まってきたかな…」
,,@chara_show name=幼女 pos=center
,,「……」
,,少女はその集まった紙切れを見ても表情を変えることはなかった
,,（これ、本当に集めたいのかなあ…）
,,……
,,「…本当に可愛いね」
,,@chara_hide name=幼女
,,@chara_show name=幼女 pos=center
幼女,dark,「…なに」
,,「あっ！いや！今の声に出てた？！」
,,@chara_hide name=幼女
,,@chara_show name=幼女 pos=center
,,「…うん……」
,,@chara_hide name=幼女
,,この子を見ているとなんだか心が温かくなるのだ。
,,一緒に行動してきたけれど、そのいとしさは増すばかり。
,,本当に、可愛い。
,,そんなに子供が得意なたちではないけれど、こんなに可愛い女の子が自分の娘だったらものすごく誇らしいだろう。
,,このアパートに住んでいる人たちも、こんな子が同じアパートに住んでいたら嬉しいだろうなあ、って
,,私もここに暮らしているんだっけ
,,「どうしてなにも思い出せないんだろう…」
,,きっとこのアパートの内装だって、記憶がなくなる前の見慣れた景色だろう。
,,記憶が戻るトリガーになるに違いないのに。
,,そしてこの女の子。
,,一緒に暮らしていたとしたら、絶対思い出すと思うんだけれど…
,,すると、女の子は持っているぬいぐるみをキュッと抱え直して
,,目をうるませはじめた。
,,@bg_hide
,,@still_show name=still_sad_girl
,,「………ママ…」
,,「…ママにあいたい…」
,,小さい女の子が親と一緒にいられなくて寂しいのは当たり前だろう。
,,寂しそうな表情を浮かべる女の子を見た私は、
,,心臓がつきりと痛んだ気がした。
,,そしてどうしてかそれと同時に、
,,（…私が今そばにいるんだからいいじゃない）
,,同時に、もやっとした気持ちがわきあがってきた。
,,いまこの時、この子はわたしのものだ。
,,@still_hide
,,@bg_show name=主人公の部屋
,,女の子の頭をなでながら、
,,「大丈夫だよ。また切れ端を探しに行こう？」
,,と言うと、女の子は無言で深くうなずいた。
,,女の子の手を取り、またアパートの中を探しはじめた…
,,@bg_hide
,,@end
