,,@bgm_play name=仮
,,@bg_show name=おじいさんの部屋
,,私はおもむろに、そこにあった座布団に火をつけた
,,@se_play name=fire1.mp3
,,ゴォッ…
,,@still_show name=still_fire
,,メラメラと燃え上がる火を、私は見つめている
,,段々と、その炎が他の家具や畳を侵食していった。
,,空気が温かくなり、酸素が薄らいでいくような感覚に陥る。
,,…この感覚を…
,,私は一度、経験したことがある
,,@still_hide
,,@bg_show name=くろ
,,@chara_show name=幼女 pos=center
幼女,sad,「けほっ けほっ」
,,あの子が苦しそうにしている
,,@chara_hide name=幼女
,,だけど、なんだか
,,このままでもいいような気がしてしまうのだ
,,この子と一緒に、このまま、炎に包まれるのも
,,わるくないのではないかと、思ってしまった
,,「ふふっ」
,,ああ、なんで私はこんな最中で笑ってしまうのだろう
,,…そうか
,,私、嬉しいんだ
,,「また、あとでね」
,,@bg_hide
,,@end
