,,@bgm_play name=仮
,,@bg_show name=おじいさんの部屋
,,@item_show name=開いたからくり箱
,,カチャン
,,からくり箱を操作すると引っかかっていた部分が外れて
,,中から紙切れが出てきた。
,,@item_hide
,,無事に切れ端を見つけることができた。
,,「やった！」
,,@item_show name=紙切れ_おじいさん
,,ひらがなの「た」だろうか。
,,@item_hide
,,「また見つけたよ」
,,@chara_show name=幼女 pos=center
,,「ありが…とう…」
,,切れ端を受け取ると、女の子は部屋をまたぐるりと見回した
,,ちゃんちゃんこを着たわにのぬいぐるみをじっと見つめている
,,「ここに住んでいた人も、あの黄色いのを着ていたの？」
,,@chara_hide name=幼女
,,@chara_show name=幼女 pos=center
幼女,sad,「…うん…」
,,この表情を見るに、かなりのこ住人のことも好きだったのだろう
,,「また、会えるといいね」
幼女,dark,「……」
,,？
,,「どうしたの」
,,@chara_hide name=幼女
,,@chara_show name=幼女 pos=center
,,「…なんでもない」
,,一瞬
,,@chara_hide name=幼女
,,この子の目の中の光が消えた気がした
,,@bg_hide
,,@next
